feature,pearson_corr,abs_pearson_corr,spearman_corr,abs_spearman_corr,feature_min,feature_max,feature_mean,feature_std,in_alpha_pack
GOLDEN_distance_rainfall_ratio,0.10703245986842107,0.10703245986842107,0.12702855159714932,0.12702855159714932,-6.343149588151565,9.34790902166873,2.967161195315288,1.7667246320509662,True
distance_to_river_DIV_rainfall_7d,0.016263099704778426,0.016263099704778426,0.12650036748675042,0.12650036748675042,0.0,803060000.0,1080124.5536592933,19014155.068287604,True
distance_to_river_DIV_inundation_area,0.09377876943951857,0.09377876943951857,0.12637157107900754,0.12637157107900754,0.0,17.923736921117754,0.5380509807820526,0.9090127485688082,True
rainfall_7d_MULT_inundation_area,-0.06383948361955046,0.06383948361955046,-0.11579239012330377,0.11579239012330377,0.0,24659486.557869937,708279.7182566157,1141829.057666692,True
inundation_area_sqm,-0.08328916380677716,0.08328916380677716,-0.10713118753979031,0.10713118753979031,396.0,104489.0,7289.639579842763,5808.290850149778,True
distance_to_river_m,0.08159943145273643,0.08159943145273643,0.0959631931620987,0.0959631931620987,-485.3977503909467,16802.0,2007.6270654563893,2028.0080419883698,True
distance_to_river_m_log1p,0.08879797619284209,0.08879797619284209,0.0959631931620987,0.0959631931620987,0.6931471805599453,9.7578487458203,7.538347336485508,0.7626451097396056,False
distance_to_river_m_clipped,0.08146567808389366,0.08146567808389366,0.09595672964797518,0.09595672964797518,0.0,16802.0,2009.2201765691457,2026.3019837213983,False
rainfall_7d_mm_clipped,-0.06133121967328096,0.06133121967328096,-0.0867995742837262,0.0867995742837262,0.0,820.7504736930931,84.15104053427956,78.3202952038168,False
rainfall_7d_mm,-0.06131778732491807,0.06131778732491807,-0.08679525473003778,0.08679525473003778,-49.199358085408946,820.7504736930931,84.02691282576173,78.47844911362108,True
rainfall_7d_mm_log1p,-0.07325260979794568,0.07325260979794568,-0.08679525473003778,0.08679525473003778,0.6931471805599453,6.770731889889826,4.782909916394201,0.4882384544232657,True
extreme_weather_index,-0.057624680886689275,0.057624680886689275,-0.06551918641250389,0.06551918641250389,0.132325724530742,1.0,0.7058195606999524,0.11322756122359805,True
infrastructure_score,0.04325353709545642,0.04325353709545642,0.04509265376190193,0.04509265376190193,5.0,95.0,46.25950509086223,19.930797936522403,True
terrain_roughness_index,-0.02574691326498967,0.02574691326498967,-0.039029877149070726,0.039029877149070726,0.1846875661555843,22.060660100831186,0.8159930836024293,0.30999501718027245,True
historical_flood_count,-0.032372973745515975,0.032372973745515975,-0.0365815729780352,0.0365815729780352,0.0,5.0,0.20163680886712204,0.5084881387186463,False
monthly_rainfall_mm_clipped,-0.025738091824316307,0.025738091824316307,-0.036082848143424155,0.036082848143424155,0.0,2032.2741554680497,224.09281294834133,181.09656326706732,False
monthly_rainfall_mm,-0.025775079946438628,0.025775079946438628,-0.03607707654431594,0.03607707654431594,-79.17057097725932,2032.2741554680497,223.8753828149742,181.39852973971293,True
monthly_rainfall_mm_log1p,-0.028490553458004577,0.028490553458004577,-0.03607707654431594,0.03607707654431594,0.6931471805599453,7.656074467048493,5.572304025956987,0.5584915349925939,True
ndwi_clipped,-0.024691168057168915,0.024691168057168915,-0.031924199720308306,0.031924199720308306,-1.0,1.0,0.03689637839927826,0.2725036985672657,False
ndwi,-0.023742792768760596,0.023742792768760596,-0.031923813261077516,0.031923813261077516,-1.0,1.596307708644952,0.03829192279705236,0.2783852433439036,True
ndwi_qmap,-0.024445684020788047,0.024445684020788047,-0.03192379823826694,0.03192379823826694,-5.199337582605575,5.19933758270342,-7.096927354287089e-06,1.0138729135236113,True
population_density_per_km2,-0.020961895223292174,0.020961895223292174,-0.030481618784396983,0.030481618784396983,10.0,6642.296345402534,660.2561485148066,655.385505649028,True
population_density_per_km2_log1p,-0.02487763925010441,0.02487763925010441,-0.030481618784396983,0.030481618784396983,2.3978952727983707,8.801363556846743,5.994383637930778,1.239017769550559,True
built_up_percent_qmap,-0.013372345968800646,0.013372345968800646,-0.018971484715392124,0.018971484715392124,-5.199337582605575,5.19933758270342,-0.4327117703267505,1.9526419256892174,False
built_up_percent,-0.017549791119172233,0.017549791119172233,-0.018971464068641364,0.018971464068641364,1.0,177.49789128087508,25.66638756866346,19.989374393949195,False
built_up_percent_clipped,-0.017685240960747008,0.017685240960747008,-0.01897105811298186,0.01897105811298186,1.0,100.0,25.505902822528675,19.17382489104867,False
drainage_index_yeojohnson,-0.01766660564560505,0.01766660564560505,-0.016337874395264518,0.016337874395264518,0.0029974357466235,1.2835339370439751,0.4406637943781787,0.18400601656395538,False
drainage_index,-0.01817132008489678,0.01817132008489678,-0.016337874395264518,0.016337874395264518,0.003,1.7798765306856374,0.507422750612854,0.23257043013325698,False
drainage_index_clipped,-0.017455103124641158,0.017455103124641158,-0.01633438771882381,0.01633438771882381,0.003,1.0,0.5053747905657946,0.225652863796627,False
generation_day,-0.014339008662630567,0.014339008662630567,-0.01548931208164737,0.01548931208164737,1.0,31.0,15.822142028611934,8.79359205315609,False
monthly_rainfall_mm_invalid_flag,0.011336771559810058,0.011336771559810058,0.012489355992408788,0.012489355992408788,0.0,1.0,0.005219744812475834,0.07206131909347856,False
distance_to_river_m_invalid_flag,-0.013785865759942393,0.013785865759942393,-0.012243260855302269,0.012243260855302269,0.0,1.0,0.006637453280061863,0.0812023546977866,False
rainfall_7d_mm_invalid_flag,0.0079346895341383,0.0079346895341383,0.010408362319547235,0.010408362319547235,0.0,1.0,0.005219744812475834,0.07206131909347856,False
longitude,0.012197266580709416,0.012197266580709416,0.010382005809098477,0.010382005809098477,79.650121,81.899993,80.76780284211884,0.6494543281310321,True
socioeconomic_status_index,0.007271424547665806,0.007271424547665806,0.00865523976110028,0.00865523976110028,0.185235092859483,0.8492506548026159,0.5080230507817215,0.11720902671200151,True
ndvi_invalid_flag,-0.008366638924819546,0.008366638924819546,-0.007903595167833094,0.007903595167833094,0.0,1.0,0.004059801520814538,0.06358915085107267,False
drainage_index_invalid_flag,-0.004621360931135473,0.004621360931135473,-0.006827467314858967,0.006827467314858967,0.0,1.0,0.004059801520814538,0.06358915085107267,False
generation_quarter,-0.00703742809245498,0.00703742809245498,-0.006130503559425864,0.006130503559425864,1.0,4.0,2.5065085706920995,1.1159740679815553,False
generation_dayofyear,-0.007271916231638744,0.007271916231638744,-0.006083670022812611,0.006083670022812611,1.0,366.0,183.02281221806933,105.58568762617813,False
generation_month,-0.006077583761741844,0.006077583761741844,-0.004745309637040714,0.004745309637040714,1.0,12.0,6.509730635391159,3.4505504339117006,False
generation_year,-0.007932828209183576,0.007932828209183576,-0.00460112381216646,0.00460112381216646,2023.0,2025.0,2024.4356875886067,0.5569527040834886,False
